匕	spoon		
北	north	north	north
背	stature	back	back
比	compare	compare	compare
昆	descendants	insect	descendants
皆	all	all	all
混	mix	mix	mix
渇	thirst	run dry, thirst	thirst
謁	audience	be granted an audience	audience
褐	brown	brown	brown
喝	hoarse	shout at	hoarse
旨	delicious	purport	delicious
脂	fat	fat	fat
壱	I (one)	one	one (Falsification prevention)
毎	every	every	every
敏	cleverness	nimble	cleverness
梅	plum	Japanese apricot	ume (Japanese apricot)
海	sea	sea	sea
乞	beg		beg
乾	drought	dry	dry
腹	abdomen	belly	abdomen
複	duplicate	compound	duplicate
欠	lack	lack	lack
吹	blow	blow	blow
炊	cook	cook	cook
歌	song	song	song
軟	soft	soft	soft
次	next	next	next
茨	briar		thorn
資	assets	resources	resources
姿	figure	figure	figure
諮	consult with	consult	consult with
賠	compensation	compensate	compensation
培	cultivate	cultivate	cultivate
剖	divide	dissect	divide
音	sound	sound	sound
暗	darkness	dark	dark
韻	rhyme	rhyme	rhyme
識	discriminating	discriminate, knowledge	discriminating
鏡	mirror	mirror, optical instrument	mirror
境	boundary	boundary, situation	boundary
亡	deceased	decease	deceased
盲	blind	blind	blind
妄	delusion	rash	delusion
荒	laid waste	wild	laid waste
望	ambition	hope, look afar	hope
方	direction	direction, way, square	direction
妨	disturb	hinder	disturb
坊	boy	sonny, colloquial person suffix	boy
芳	perfume	fragrant	perfume
肪	obese	animal fat	obese
訪	call on	visit	visit
放	set free	let go	release
激	violent	violent	violent
脱	undress	remove, escape from	undress
説	rumor / explanation	explain, theory	theory
鋭	pointed	sharp	pointed
曽	formerly		formerly
増	increase	increase	increase
贈	presents	present a gift	presents
東	east	east	east
棟	ridgepole	block	ridgepole
凍	frozen	freeze	frozen
妊	pregnancy	become pregnant	pregnancy
廷	courts	court	courts
染	dye	dye	dye
燃	burn	burn	burn
賓	V.I.P.	guest	V.I.P.
歳	year end	year, age suffix	year-end
県	prefecture	prefecture	prefecture
栃	horse chestnut		horse chestnut
地	ground	ground, place	ground
池	pond	pond	pond
虫	insect	insect	insect
蛍	lightning-bug	firefly	lightning-bug
蛇	snake	snake	snake
虹	rainbow	rainbow	rainbow
蝶	butterfly	butterfly	
独	single	alone, Germany	alone
蚕	silkworm	silkworm	silkworm
風	wind	wind, manner	wind
己	self	oneself	self
起	rouse	rise	wake up
妃	queen	princess	queen
改	reformation	reform	reformation
記	scribe	write down	write down
包	wrap	wrap, encompass	wrap
胞	placenta	membranous sac	placenta
砲	cannon	heavy gun	cannon
泡	bubbles	bubble	bubbles
亀	tortoise	turtle	turtle
電	electricity	electricity	electricity
竜	dragon	dragon	dragon
滝	waterfall	waterfall	waterfall
豚	pork	pig	pork
逐	pursue	one by one, drive out	pursue
遂	consummate	accomplish	consummate
家	house	house, family	house
嫁	marry into	wed a man, bride	marry into
豪	overpowering	great man, magnificent	overpowering
腸	intestines	intenstines	intestines
場	location	place	place
湯	hot water	hot water	hot water
羊	sheep	sheep	sheep
美	beauty	beautiful	beauty
洋	ocean	ocean, western	ocean
詳	detailed	detailed	detailed
鮮	fresh	fresh, vivid	fresh
達	accomplished	attain	attain
羨	envious		envy
差	distinction	difference	distinction
着	don	put on, arrive, stick	wear
唯	solely	only	solely
焦	char	scorch, be impatient	char
礁	reef	reef	reef
集	gather	collect	collect
准	quasi-	junior	quasi-
進	advance	advance	advance
雑	miscellaneous	miscellaneous, mixed	miscellaneous
雌	feminine / female	female	feminine
準	semi-	standard, quasi-	standard
奮	stirred up	rouse up	stirred up
奪	rob	rob	rob
確	assurance	certain	certain
午	noon	noon	noon
許	permit	permit	permit
歓	delight	joyous	delight
権	authority	right, power	rights
観	outlook	view	observe
羽	feathers	feather, wing	feather
習	learn	learn, custom	learn
翌	the following	the following	the following
曜	weekday	day of the week	day of the week
濯	laundry	rinse	laundry
曰	sayeth		
困	quandary	be in trouble	become distressed
固	harden	solid, firm	hard
国	country	country	country
団	group	body	group
因	cause	cause	cause
姻	matrimony	marriage	matrimony
園	park	garden	garden
回	times	turn round, time	times
壇	podium	platform	podium
店	store	shop	shop
庫	warehouse	storage chamber	warehouse
庭	courtyard	court, garden	garden
庁	government office	government agency	government office
床	bed	bed, floor	bed
麻	hemp	hemp, become numb	hemp
磨	grind	polish	grind
心	heart	heart	heart
忘	forget	forget	forget
忍	endure	bear	endure
認	acknowledge	recognise	recognize
忌	mourning	mourning, abhor	mourning
志	intention	ambition	intention
誌	document	magazine	document
忠	loyalty	loyalty	loyalty
串	shish kebab		skewer
患	afflicted	affected by disease	afflicted
思	think	think	think
恩	grace	grace, debt of gratitude	grace
応	apply	respond	respond
意	idea	mind, meaning	idea
想	concept	conceive	concept
息	breath	breath	breath
憩	recess	take a rest	recess
恵	favor	favor	favor
恐	fear	fear	fear
惑	beguile	bewildered	beguile
感	emotion	sense, feel	feeling
憂	melancholy	be anxious	melancholy
寡	widow	few	widow
忙	busy	busy	busy
悦	ecstasy	delighted	ecstasy
恒	constancy	constant	constancy
悼	lament	mourn	lament
悟	enlightenment	awake to	enlightenment
怖	dreadful	fearful	dreadful
慌	disconcerted	flurried	disconcerted
悔	repent	repent	repent
憎	hate	hate	hate
慣	accustomed	habitual practice	accustomed
愉	pleasure	pleased	pleasure
惰	lazy	lazy	lazy
慎	humility	prudent	humility
憾	remorse	strongly regret	remorse
憶	recollection	speculate, remember	recollection
慕	pining	adore	pining
添	annexed	add to	annexed
必	invariably	without fail	without fail
泌	ooze	secrete	ooze
手	hand	hand, occupation suffix	hand
看	watch over	watch, care for	watch over
摩	chafe	rub against	chafe
我	ego	self	ego
